Year,Gender,State,Name,Count
1971,M,VA,Michael,1839
2008,F,MI,Olivia,680
1946,F,MI,Mary,2811
1950,M,CA,Robert,6029
1946,F,MO,Mary,1946
2008,F,ME,Emma,105
1946,F,MN,Mary,1692
1946,F,MS,Mary,1621
2008,F,MA,Ava,470
1946,F,MT,Mary,240
2008,F,MD,Madison,383
1954,F,IN,Debra,1607
1994,F,ME,Emily,141
1994,F,MD,Ashley,488
1944,M,WA,Robert,1021
1949,M,AZ,John,430
1971,M,TN,James,1722
1994,F,MA,Emily,740
1976,M,OK,Michael,866
1994,F,MI,Ashley,1198
1919,F,SC,Mary,1616
1920,F,AZ,Mary,280
1919,F,SD,Helen,229
1971,M,TX,Michael,4269
1944,M,VT,Robert,205
1954,F,LA,Mary,1564
1976,M,OR,Jason,655
1954,F,MA,Mary,2133
1914,F,WV,Mary,790
1994,F,MT,Jessica,83
1994,F,MS,Ashley,311
1986,F,AR,Ashley,553
1994,F,MO,Ashley,656
1994,F,MN,Emily,596
1910,M,ME,John,42
1944,M,WI,James,1914
1949,M,AR,James,1492
1949,M,AK,John,96
1986,F,AL,Ashley,929
1986,F,AK,Jessica,158
1949,M,AL,James,2835
1910,M,MA,John,513
1976,M,PA,Michael,4158
1910,M,MD,John,193
1914,F,WY,Mary,55
1910,M,MN,John,146
1994,F,NE,Jessica,201
1994,F,ND,Taylor,94
1919,F,TN,Mary,2001
1910,M,MO,William,314
1994,F,NC,Ashley,882
1976,M,NV,Michael,214
1910,M,MI,John,190
1950,M,AR,James,1430
2008,F,KY,Madison,359
1976,M,NY,Michael,5924
1949,M,CA,Robert,5956
1976,M,NJ,Michael,2543
2008,F,KS,Emma,200
1994,F,NM,Jessica,186
1944,M,WY,Robert,140
1976,M,NM,Michael,343
1946,F,PA,Mary,4455
1950,M,AK,Robert,91
1994,F,NJ,Jessica,1043
1950,M,AL,James,2660
1986,F,AZ,Jessica,738
1910,M,MT,John,45
1994,F,NH,Emily,149
1944,M,WV,James,1321
1910,M,MS,James,465
1994,F,NV,Jessica,224
1946,F,OH,Mary,3333
1920,F,AR,Mary,1206
1976,M,OH,Michael,3715
1954,F,KY,Mary,1464
1946,F,OK,Linda,1266
1946,F,OR,Linda,570
1910,M,NH,John,23
1954,F,KS,Debra,849
1910,M,NC,James,612
1994,F,NY,Ashley,2218
1920,F,AK,Mary,38
1910,M,NE,John,93
1920,F,AL,Mary,2357
1910,M,ND,John,56
1971,M,RI,Michael,410
1954,F,NM,Mary,509
1976,M,VA,Michael,1475
1954,F,NJ,Patricia,1978
1914,F,RI,Mary,350
1954,F,NH,Susan,213
1976,M,UT,Michael,623
1986,F,GA,Jessica,1607
1954,F,NE,Mary,620
1954,F,ND,Mary,269
1954,F,NC,Deborah,1738
1950,M,FL,James,1823
2008,F,HI,Chloe,65
1994,F,KS,Jessica,300
1919,F,TX,Mary,2740
1954,F,NY,Mary,5467
1971,M,SC,James,1076
1994,F,KY,Ashley,504
1971,M,SD,Michael,203
1954,F,NV,Debra,81
1976,M,TX,Michael,3949
1914,F,SC,Mary,908
1954,F,MO,Mary,1814
1994,F,LA,Taylor,434
1954,F,MN,Mary,1920
1986,F,HI,Ashley,209
1954,F,MI,Mary,3435
1910,M,KS,John,129
2008,F,IN,Emma,513
1954,F,ME,Susan,372
1954,F,MD,Deborah,1241
1914,F,SD,Dorothy,133
1946,F,ID,Linda,283
1946,F,IA,Mary,1296
2008,F,IL,Olivia,827
1919,F,VA,Mary,1940
1910,M,KY,James,352
2008,F,IA,Emma,250
1946,F,IL,Mary,3492
2008,F,ID,Olivia,131
1950,M,GA,James,2713
1910,M,LA,John,243
1954,F,MT,Mary,254
1954,F,MS,Mary,1377
1946,F,IN,Mary,1610
1919,F,UT,Mary,195
1910,M,HI,John,22
1994,F,IA,Emily,372
1936,M,WA,Robert,633
1919,F,WI,Dorothy,1015
1994,F,ID,Jessica,165
1946,F,MD,Mary,1184
1946,F,MA,Mary,1665
2008,F,FL,Isabella,1569
1936,M,WV,James,1286
1919,F,WA,Mary,419
1994,F,IN,Ashley,683
1994,F,IL,Jessica,1603
1976,M,TN,Michael,1268
1950,M,DE,William,233
1950,M,DC,John,809
1910,M,IA,John,124
1910,M,ID,John,34
1936,M,WI,Robert,1601
1919,F,VT,Mary,121
1954,F,OR,Debra,636
1910,M,IL,John,644
1946,F,KS,Linda,750
1971,M,OH,Michael,4374
1946,F,KY,Mary,1734
1971,M,OK,Michael,929
1954,F,OK,Deborah,747
1954,F,OH,Mary,3754
1910,M,IN,William,164
1971,M,OR,Michael,678
1936,M,WY,Robert,110
1946,F,LA,Mary,1602
1954,F,PA,Mary,4394
1914,F,TN,Mary,1158
1986,F,FL,Jessica,2563
1971,M,PA,Michael,4680
1919,F,WY,Mary,104
2008,F,GA,Madison,683
1976,M,SC,James,826
1976,M,SD,Jason,262
1914,F,TX,Mary,1707
1919,F,WV,Mary,1225
1981,F,PA,Jennifer,2818
1994,F,WI,Samantha,603
1949,M,LA,James,1577
1994,F,WV,Brittany,228
1959,F,NE,Mary,493
1959,F,ND,Mary,231
1959,F,NC,Mary,1256
2008,F,TX,Emily,1849
1936,M,DE,Robert,119
1959,F,MN,Mary,1634
1949,M,KS,Robert,898
1999,F,AZ,Samantha,417
1959,F,MI,Mary,2772
1994,F,WY,Ashley,57
1949,M,KY,James,2301
1959,F,MT,Mary,211
1959,F,MS,Mary,1010
2008,F,TN,Emma,553
1946,F,FL,Mary,1123
1959,F,MO,Mary,1409
1949,M,MD,John,1359
1949,M,ME,Robert,482
1999,F,CO,Hannah,342
1949,M,MA,Robert,3298
1959,F,ME,Susan,311
1959,F,MD,Mary,1001
2008,F,VA,Emma,467
1999,F,CT,Emily,400
1949,M,MN,James,1684
1959,F,MA,Susan,1988
1949,M,MI,Robert,3955
2008,F,UT,Olivia,260
1999,F,CA,Emily,2825
1959,F,PA,Mary,3578
2008,F,SD,Emma,76
1931,M,WY,Robert,134
2008,F,SC,Madison,301
1931,M,WV,James,1067
1981,F,ND,Jessica,259
1981,F,NC,Jennifer,1337
1981,F,NH,Jennifer,251
1994,F,UT,Jessica,380
1981,F,NE,Jennifer,473
1981,F,NJ,Jennifer,1605
1936,M,CA,Robert,2547
1981,F,NM,Jennifer,299
1949,M,IL,Robert,5003
1959,F,OK,Mary,460
1933,F,AR,Mary,1149
1949,M,IN,James,2374
1933,F,AL,Mary,2106
1933,F,AK,Mary,25
1981,F,NV,Jennifer,204
1946,F,HI,Patricia,143
1994,F,VA,Jessica,750
1959,F,OR,Susan,397
2008,F,RI,Ava,94
1981,F,NY,Jennifer,3836
1936,M,CO,Robert,529
1999,F,AK,Emily,62
1999,F,AL,Hannah,475
1959,F,NY,Mary,4869
1959,F,OH,Mary,3053
1981,F,OH,Jennifer,3067
1994,F,VT,Emily,81
1999,F,AR,Hannah,297
1981,F,OK,Jennifer,869
1936,M,DC,Robert,357
1946,F,GA,Mary,2253
1959,F,NM,Mary,366
1959,F,NJ,Donna,1901
1959,F,NH,Susan,221
1981,F,OR,Jennifer,662
1959,F,NV,Linda,71
1936,M,CT,Robert,897
1994,F,WA,Jessica,674
1999,F,FL,Emily,1263
2012,M,UT,William,281
1981,F,LA,Jennifer,937
1994,F,SD,Megan,93
1949,M,HI,Michael,251
1989,M,DC,Michael,312
1989,M,DE,Michael,246
1946,F,AZ,Mary,385
1959,F,ID,Susan,141
1959,F,IN,Mary,1284
1959,F,IL,Mary,3700
2012,M,VA,William,647
1946,F,AK,Mary,47
1946,F,AL,Mary,2107
1949,M,IA,James,1337
1989,M,CO,Michael,832
2012,M,VT,Mason,43
1936,M,AL,James,2200
1936,M,AK,Robert,35
1981,F,MA,Jennifer,1433
1959,F,IA,Mary,832
1981,F,ME,Jessica,360
1946,F,AR,Mary,1074
1981,F,MD,Jennifer,891
1989,M,CA,Michael,7854
1949,M,ID,Robert,292
1981,F,MI,Jennifer,2386
1994,F,TN,Ashley,772
1959,F,HI,Susan,134
1981,F,MO,Jennifer,1386
1981,F,MN,Jennifer,1159
1999,F,GA,Emily,743
1981,F,MS,Jennifer,587
1994,F,TX,Ashley,2621
1936,M,AZ,Robert,198
2012,M,WI,Mason,430
